,name,country,subcountry,geonameid,lat,lng
12643,Aioi,Japan,Hyogo,1865661,34.8036006,134.4680664
12644,Ageoshimo,Japan,Saitama,1865714,35.9773805,139.5932055
12645,Okinawa,Japan,Okinawa,1894616,26.3344266,127.8055832
12646,Kushima,Japan,Miyazaki,1895695,31.4645389,131.2283032
12647,Hikari,Japan,Yamaguchi,1896348,33.9619132,131.9422817
12648,Nagato,Japan,Yamaguchi,1899102,34.3709562,131.1821947
12649,Hasuda,Japan,Saitama,1907123,35.9943071,139.6621058
12650,Kamifukuoka,Japan,Saitama,1907125,35.8756247,139.5142064
12651,Sayama,Japan,Saitama,1907146,35.8529421,139.4122129
12652,Fussa,Japan,Tokyo,1907148,35.7384505,139.3269322
12653,Asaka,Japan,Saitama,1907299,35.7972524,139.5939165
12654,Wako,Japan,Saitama,1907300,35.7812079,139.6057934
12655,Shimotoda,Japan,Saitama,1907301,35.8165383,139.6831829
12656,Kimitsu,Japan,Chiba,1907307,35.3304502,139.9026768
12657,Miura,Japan,Kanagawa,1907309,35.1441706,139.6207704
12658,Wakayama,Japan,Wakayama,1926004,34.2305113,135.1708083
12659,Iyo,Japan,Ehime,1926006,33.7574293,132.7037292
12660,Uwajima,Japan,Ehime,1926020,33.2233404,132.5605575
12661,Saijo,Japan,Ehime,1926054,33.9195105,133.1811697
12662,ozu,Japan,Ehime,1926055,33.5061936,132.5445085
12663,Matsuyama,Japan,Ehime,1926099,33.8391574,132.7655752
12664,Masaki-cho,Japan,Ehime,1926101,33.7874398,132.7113752
12665,Kawanoecho,Japan,Ehime,1926116,33.9807605,133.5491949
12666,Hojo,Japan,Ehime,1926142,33.9772277,132.774328
12667,Yuzawa,Japan,Akita,2110460,39.1643041,140.4956629
12668,Yotsukaido,Japan,Chiba,2110480,35.6698162,140.1679247
12669,Yonezawa,Japan,Yamagata,2110498,37.9222401,140.1167811
12670,Yokotemachi,Japan,Akita,2110506,39.3116594,140.5586252
12671,Yokaichiba,Japan,Chiba,2110518,35.7055251,140.5585737
12672,Yanagawamachi-saiwaicho,Japan,Fukushima,2110538,37.8505169,140.6001539
12673,Yamoto,Japan,Miyagi,2110541,38.4208043,141.2106391
12674,Yamagata,Japan,Yamagata,2110556,38.2554388,140.3396016
12675,Yamada,Japan,Iwate,2110560,39.467662,141.9489501
12676,Yachimata,Japan,Chiba,2110579,35.665917,140.3179516
12677,Watari,Japan,Miyagi,2110586,38.0374595,140.8525812
12678,Wakuya,Japan,Miyagi,2110596,38.5396458,141.1280752
12679,Ushiku,Japan,Ibaraki,2110629,35.9793751,140.1495237
12680,Tsukuba,Japan,Ibaraki,2110683,36.0834857,140.0766423
12681,Toride,Japan,Ibaraki,2110729,35.9114415,140.0504684
12682,Tono,Japan,Iwate,2110735,39.3278378,141.5333031
12683,Tomobe,Japan,Ibaraki,2110743,36.3563198,140.143716
12684,Tomiya,Japan,Miyagi,2110744,38.3998148,140.8954076
12685,Togane,Japan,Chiba,2110774,35.5599438,140.3660922
12686,Tendo,Japan,Yamagata,2110793,38.3622648,140.3778858
12687,Takahata,Japan,Yamagata,2110891,38.0027363,140.1891602
12688,Takahagi,Japan,Ibaraki,2110893,36.719147,140.7166877
12689,Sukagawa,Japan,Fukushima,2110959,37.2869551,140.3725271
12690,Shizukuishi,Japan,Iwate,2110994,39.6962875,140.9757756
12691,Shisui,Japan,Chiba,2111008,35.7248237,140.2695466
12692,Shiroishi,Japan,Miyagi,2111016,38.0024779,140.6198605
12693,Shiroi,Japan,Chiba,2111018,35.7912332,140.0558773
12694,Shiogama,Japan,Miyagi,2111049,38.3143623,141.0220272
12695,Shinjo,Japan,Yamagata,2111065,38.7650154,140.3016084
12696,Sendai,Japan,Miyagi,2111149,38.268215,140.8693558
12697,Sawara,Japan,Chiba,2111173,35.89506799999999,140.493557
12698,Sakura,Japan,Chiba,2111220,35.7234861,140.2239639
12699,Sagae,Japan,Yamagata,2111248,38.38096350000001,140.2759667
12700,Ryugasaki,Japan,Ibaraki,2111258,35.911594,140.1822645
12701,Rifu,Japan,Miyagi,2111277,38.3301895,140.9757222
12702,otsuchi,Japan,Iwate,2111310,39.358231,141.8994216
12703,otawara,Japan,Tochigi,2111325,36.871484,140.0174187
12704,omiya,Japan,Ibaraki,2111425,36.5425766,140.41089
12705,Omigawa,Japan,Chiba,2111429,35.8550956,140.6058841
12706,omagari,Japan,Akita,2111435,39.4442088,140.4986178
12707,Okunoya,Japan,Ibaraki,2111441,36.2868678,140.4216923
12708,okawara,Japan,Miyagi,2111461,38.0494926,140.730721
12709,ohara,Japan,Chiba,2111495,35.2502753,140.390325
12710,ofunato,Japan,Iwate,2111530,39.0819011,141.70853
12711,Obanazawa,Japan,Yamagata,2111559,38.6006216,140.405691
12712,oarai,Japan,Ibaraki,2111567,36.3134425,140.5749744
12713,oami,Japan,Chiba,2111568,35.521708,140.32096
12714,Nihommatsu,Japan,Fukushima,2111656,37.5848581,140.4311291
12715,Naruto,Japan,Chiba,2111677,35.6036445,140.4085044
12716,Narita,Japan,Chiba,2111684,35.7766076,140.3187806
12717,Namie,Japan,Fukushima,2111704,37.483333,141.0
12718,Naka,Japan,Ibaraki,2111749,36.4574688,140.486854
12719,Nagai,Japan,Yamagata,2111781,38.1074936,140.0405238
12720,Motomiya,Japan,Fukushima,2111824,37.5131313,140.3938904
12721,Motegi,Japan,Tochigi,2111827,36.5321204,140.1875648
12722,Moriya,Japan,Ibaraki,2111831,35.9514207,139.9753912
12723,Morioka,Japan,Iwate,2111834,39.702053,141.1544838
12724,Mooka,Japan,Tochigi,2111836,36.4404189,140.0134416
12725,Mobara,Japan,Chiba,2111855,35.4285439,140.2880265
12726,Mizusawa,Japan,Iwate,2111859,40.2436602,141.6510229
12727,Miyako,Japan,Iwate,2111884,39.6414202,141.9571394
12728,Mito,Japan,Ibaraki,2111901,36.3665027,140.4709965
12729,Miharu,Japan,Fukushima,2111943,37.4410476,140.4925685
12730,Matsushima,Japan,Miyagi,2111964,38.380128,141.0672439
12731,Mashiko,Japan,Tochigi,2111999,36.4673531,140.093378
12732,Marumori,Japan,Miyagi,2112008,37.9114293,140.7655281
12733,Makabe,Japan,Ibaraki,2112019,36.2784313,140.1005395
12734,Kuroiso,Japan,Tochigi,2112077,36.9832371,140.0373221
12735,Koriyama,Japan,Fukushima,2112141,37.400529,140.3597421
12736,Kogota,Japan,Miyagi,2112182,38.540644,141.064362
12737,Kitakami,Japan,Iwate,2112227,39.2867646,141.1131909
12738,Kitaibaraki,Japan,Ibaraki,2112232,36.8019113,140.7509791
12739,Kamogawa,Japan,Chiba,2112297,35.1139867,140.0987111
12740,Katsuura,Japan,Chiba,2112309,35.152283,140.3209324
12741,Katsuta,Japan,Ibaraki,2112312,36.39468,140.524589
12742,Katori-shi,Japan,Chiba,2112319,35.89773539999999,140.4992682
12743,Kasama,Japan,Ibaraki,2112343,36.3453,140.3043542
12744,Karasuyama,Japan,Tochigi,2112354,36.650446,140.155054
12745,Kaminoyama,Japan,Yamagata,2112409,38.149562,140.2678268
12746,Kamaishi,Japan,Iwate,2112444,39.2758183,141.8856772
12747,Kakuda,Japan,Miyagi,2112455,37.9770628,140.7819901
12748,Iwase,Japan,Ibaraki,2112521,36.3618654,140.1073887
12749,Iwanuma,Japan,Miyagi,2112527,38.1042919,140.8701381
12750,Iwaki,Japan,Fukushima,2112539,37.0504195,140.8876817
12751,Itako,Japan,Ibaraki,2112555,35.9471227,140.5553722
12752,Ishioka,Japan,Ibaraki,2112571,36.1909565,140.2885698
